         ps       /tb_1/rst      /tb_1/countOut       
          delta     /tb_1/clk                         
                      /tb_1/upperBound                
          0  +0           U U UUUUUUUU UUUUUUUU 
          0  +1           1 0 00000000 00000000 
      50000  +1           1 1 00000000 00000000 
     100000  +0           0 1 00000000 00000000 
     100000  +1           0 0 00000000 00000000 
     150000  +1           0 1 00000000 00000000 
     200000  +1           0 0 00000001 00000000 
     250000  +1           0 1 00000001 00000000 
     250000  +3           0 1 00000001 00000001 
     300000  +1           0 0 00000001 00000001 
     350000  +1           0 1 00000001 00000001 
     350000  +3           0 1 00000001 00000000 
     400000  +1           0 0 00000001 00000000 
     450000  +1           0 1 00000010 00000000 
     500000  +1           0 0 00000010 00000000 
     550000  +1           0 1 00000010 00000000 
     550000  +3           0 1 00000010 00000001 
     600000  +1           0 0 00000010 00000001 
     650000  +1           0 1 00000010 00000001 
     650000  +3           0 1 00000010 00000000 
     700000  +1           0 0 00000010 00000000 
     750000  +1           0 1 00000010 00000000 
     750000  +3           0 1 00000010 00000001 
     800000  +1           0 0 00000010 00000001 
     850000  +1           0 1 00000010 00000001 
     850000  +3           0 1 00000010 00000010 
     900000  +1           0 0 00000010 00000010 
     950000  +1           0 1 00000010 00000010 
     950000  +3           0 1 00000010 00000000 
    1000000  +1           0 0 00000010 00000000 
    1050000  +1           0 1 00000010 00000000 
    1100000  +1           0 0 00000010 00000000 
    1150000  +1           0 1 00000010 00000000 
    1150000  +3           0 1 00000010 00000001 
    1200000  +1           0 0 00000010 00000001 
    1250000  +1           0 1 00000010 00000001 
    1250000  +3           0 1 00000010 00000000 
    1300000  +1           0 0 00000010 00000000 
    1350000  +1           0 1 00000010 00000000 
    1350000  +3           0 1 00000010 00000001 
    1400000  +1           0 0 00000010 00000001 
    1450000  +1           0 1 00000100 00000001 
    1450000  +3           0 1 00000100 00000010 
    1500000  +1           0 0 00000100 00000010 
    1550000  +1           0 1 00000100 00000010 
    1550000  +3           0 1 00000100 00000000 
    1600000  +1           0 0 00000100 00000000 
    1650000  +1           0 1 00000100 00000000 
    1650000  +3           0 1 00000100 00000001 
    1700000  +1           0 0 00000100 00000001 
    1750000  +1           0 1 00000100 00000001 
    1750000  +3           0 1 00000100 00000010 
    1800000  +1           0 0 00000100 00000010 
    1850000  +1           0 1 00000100 00000010 
    1850000  +3           0 1 00000100 00000011 
    1900000  +1           0 0 00000100 00000011 
