         ps       /tb_1/rst      /tb_1/countOut       
    1950000  +1           0 1 00000100 00000011 
    1950000  +3           0 1 00000100 00000000 
    2000000  +1           0 0 00000100 00000000 
    2050000  +1           0 1 00000100 00000000 
    2050000  +3           0 1 00000100 00000001 
    2100000  +1           0 0 00000100 00000001 
    2150000  +1           0 1 00000100 00000001 
    2150000  +3           0 1 00000100 00000010 
    2200000  +1           0 0 00000100 00000010 
    2250000  +1           0 1 00000100 00000010 
    2250000  +3           0 1 00000100 00000011 
    2300000  +1           0 0 00000100 00000011 
    2350000  +1           0 1 00000100 00000011 
    2350000  +3           0 1 00000100 00000100 
    2400000  +1           0 0 00000100 00000100 
    2450000  +1           0 1 00000100 00000100 
    2450000  +3           0 1 00000100 00000000 
    2500000  +1           0 0 00000100 00000000 
    2550000  +1           0 1 00000100 00000000 
    2600000  +1           0 0 00000100 00000000 
    2650000  +1           0 1 00000100 00000000 
    2650000  +3           0 1 00000100 00000001 
    2700000  +1           0 0 00000100 00000001 
    2750000  +1           0 1 00000100 00000001 
    2750000  +3           0 1 00000100 00000000 
    2800000  +1           0 0 00000100 00000000 
    2850000  +1           0 1 00000100 00000000 
    2850000  +3           0 1 00000100 00000001 
    2900000  +1           0 0 00000100 00000001 
    2950000  +1           0 1 00000100 00000001 
    2950000  +3           0 1 00000100 00000010 
    3000000  +1           0 0 00000100 00000010 
    3050000  +1           0 1 00000100 00000010 
    3050000  +3           0 1 00000100 00000000 
    3100000  +1           0 0 00000100 00000000 
    3150000  +1           0 1 00000100 00000000 
    3150000  +3           0 1 00000100 00000001 
    3200000  +1           0 0 00000100 00000001 
    3250000  +1           0 1 00000100 00000001 
    3250000  +3           0 1 00000100 00000010 
    3300000  +1           0 0 00000100 00000010 
    3350000  +1           0 1 00000100 00000010 
    3350000  +3           0 1 00000100 00000011 
    3400000  +1           0 0 00000100 00000011 
    3450000  +1           0 1 00001000 00000011 
    3450000  +3           0 1 00001000 00000000 
    3500000  +1           0 0 00001000 00000000 
    3550000  +1           0 1 00001000 00000000 
    3550000  +3           0 1 00001000 00000001 
    3600000  +1           0 0 00001000 00000001 
    3650000  +1           0 1 00001000 00000001 
    3650000  +3           0 1 00001000 00000010 
    3700000  +1           0 0 00001000 00000010 
    3750000  +1           0 1 00001000 00000010 
    3750000  +3           0 1 00001000 00000011 
    3800000  +1           0 0 00001000 00000011 
    3850000  +1           0 1 00001000 00000011 
    3850000  +3           0 1 00001000 00000100 
    3900000  +1           0 0 00001000 00000100 
    3950000  +1           0 1 00001000 00000100 
    3950000  +3           0 1 00001000 00000000 
    4000000  +1           0 0 00001000 00000000 
    4050000  +1           0 1 00001000 00000000 
    4050000  +3           0 1 00001000 00000001 
    4100000  +1           0 0 00001000 00000001 
    4150000  +1           0 1 00001000 00000001 
    4150000  +3           0 1 00001000 00000010 
    4200000  +1           0 0 00001000 00000010 
    4250000  +1           0 1 00001000 00000010 
    4250000  +3           0 1 00001000 00000011 
    4300000  +1           0 0 00001000 00000011 
    4350000  +1           0 1 00001000 00000011 
    4350000  +3           0 1 00001000 00000100 
    4400000  +1           0 0 00001000 00000100 
    4450000  +1           0 1 00001000 00000100 
    4450000  +3           0 1 00001000 00000101 
    4500000  +1           0 0 00001000 00000101 
    4550000  +1           0 1 00001000 00000101 
    4550000  +3           0 1 00001000 00000000 
    4600000  +1           0 0 00001000 00000000 
    4650000  +1           0 1 00001000 00000000 
    4650000  +3           0 1 00001000 00000001 
    4700000  +1           0 0 00001000 00000001 
    4750000  +1           0 1 00001000 00000001 
    4750000  +3           0 1 00001000 00000010 
    4800000  +1           0 0 00001000 00000010 
    4850000  +1           0 1 00001000 00000010 
    4850000  +3           0 1 00001000 00000011 
    4900000  +1           0 0 00001000 00000011 
    4950000  +1           0 1 00001000 00000011 
    4950000  +3           0 1 00001000 00000100 
    5000000  +1           0 0 00001000 00000100 
    5050000  +1           0 1 00001000 00000100 
    5050000  +3           0 1 00001000 00000101 
    5100000  +1           0 0 00001000 00000101 
    5150000  +1           0 1 00001000 00000101 
    5150000  +3           0 1 00001000 00000110 
    5200000  +1           0 0 00001000 00000110 
    5250000  +1           0 1 00001000 00000110 
    5250000  +3           0 1 00001000 00000000 
    5300000  +1           0 0 00001000 00000000 
    5350000  +1           0 1 00001000 00000000 
    5350000  +3           0 1 00001000 00000001 
    5400000  +1           0 0 00001000 00000001 
    5450000  +1           0 1 00001000 00000001 
    5450000  +3           0 1 00001000 00000010 
    5500000  +1           0 0 00001000 00000010 
    5550000  +1           0 1 00001000 00000010 
    5550000  +3           0 1 00001000 00000011 
    5600000  +1           0 0 00001000 00000011 
    5650000  +1           0 1 00001000 00000011 
    5650000  +3           0 1 00001000 00000100 
    5700000  +1           0 0 00001000 00000100 
    5750000  +1           0 1 00001000 00000100 
    5750000  +3           0 1 00001000 00000101 
    5800000  +1           0 0 00001000 00000101 
    5850000  +1           0 1 00001000 00000101 
    5850000  +3           0 1 00001000 00000110 
    5900000  +1           0 0 00001000 00000110 
    5950000  +1           0 1 00001000 00000110 
    5950000  +3           0 1 00001000 00000111 
    6000000  +1           0 0 00001000 00000111 
    6050000  +1           0 1 00001000 00000111 
    6050000  +3           0 1 00001000 00000000 
    6100000  +1           0 0 00001000 00000000 
    6150000  +1           0 1 00001000 00000000 
    6150000  +3           0 1 00001000 00000001 
    6200000  +1           0 0 00001000 00000001 
    6250000  +1           0 1 00001000 00000001 
    6250000  +3           0 1 00001000 00000010 
    6300000  +1           0 0 00001000 00000010 
    6350000  +1           0 1 00001000 00000010 
    6350000  +3           0 1 00001000 00000011 
    6400000  +1           0 0 00001000 00000011 
    6450000  +1           0 1 00001000 00000011 
    6450000  +3           0 1 00001000 00000100 
    6500000  +1           0 0 00001000 00000100 
    6550000  +1           0 1 00001000 00000100 
    6550000  +3           0 1 00001000 00000101 
    6600000  +1           0 0 00001000 00000101 
    6650000  +1           0 1 00001000 00000101 
    6650000  +3           0 1 00001000 00000110 
    6700000  +1           0 0 00001000 00000110 
    6750000  +1           0 1 00001000 00000110 
    6750000  +3           0 1 00001000 00000111 
    6800000  +1           0 0 00001000 00000111 
    6850000  +1           0 1 00001000 00000111 
    6850000  +3           0 1 00001000 00001000 
    6900000  +1           0 0 00001000 00001000 
    6950000  +1           0 1 00001000 00001000 
    6950000  +3           0 1 00001000 00000000 
    7000000  +1           0 0 00001000 00000000 
    7050000  +1           0 1 00001000 00000000 
    7100000  +1           0 0 00001000 00000000 
    7150000  +1           0 1 00001000 00000000 
    7150000  +3           0 1 00001000 00000001 
    7200000  +1           0 0 00001000 00000001 
    7250000  +1           0 1 00001000 00000001 
    7250000  +3           0 1 00001000 00000000 
    7300000  +1           0 0 00001000 00000000 
    7350000  +1           0 1 00001000 00000000 
    7350000  +3           0 1 00001000 00000001 
    7400000  +1           0 0 00001000 00000001 
    7450000  +1           0 1 00001000 00000001 
    7450000  +3           0 1 00001000 00000010 
    7500000  +1           0 0 00001000 00000010 
    7550000  +1           0 1 00001000 00000010 
    7550000  +3           0 1 00001000 00000000 
    7600000  +1           0 0 00001000 00000000 
    7650000  +1           0 1 00001000 00000000 
    7650000  +3           0 1 00001000 00000001 
    7700000  +1           0 0 00001000 00000001 
    7750000  +1           0 1 00001000 00000001 
    7750000  +3           0 1 00001000 00000010 
    7800000  +1           0 0 00001000 00000010 
    7850000  +1           0 1 00001000 00000010 
    7850000  +3           0 1 00001000 00000011 
    7900000  +1           0 0 00001000 00000011 
    7950000  +1           0 1 00001000 00000011 
    7950000  +3           0 1 00001000 00000000 
    8000000  +1           0 0 00001000 00000000 
    8050000  +1           0 1 00001000 00000000 
    8050000  +3           0 1 00001000 00000001 
    8100000  +1           0 0 00001000 00000001 
    8150000  +1           0 1 00001000 00000001 
    8150000  +3           0 1 00001000 00000010 
    8200000  +1           0 0 00001000 00000010 
    8250000  +1           0 1 00001000 00000010 
    8250000  +3           0 1 00001000 00000011 
    8300000  +1           0 0 00001000 00000011 
    8350000  +1           0 1 00001000 00000011 
    8350000  +3           0 1 00001000 00000100 
    8400000  +1           0 0 00001000 00000100 
    8450000  +1           0 1 00001000 00000100 
    8450000  +3           0 1 00001000 00000000 
    8500000  +1           0 0 00001000 00000000 
    8550000  +1           0 1 00001000 00000000 
    8550000  +3           0 1 00001000 00000001 
    8600000  +1           0 0 00001000 00000001 
    8650000  +1           0 1 00001000 00000001 
    8650000  +3           0 1 00001000 00000010 
    8700000  +1           0 0 00001000 00000010 
    8750000  +1           0 1 00001000 00000010 
    8750000  +3           0 1 00001000 00000011 
    8800000  +1           0 0 00001000 00000011 
    8850000  +1           0 1 00001000 00000011 
    8850000  +3           0 1 00001000 00000100 
    8900000  +1           0 0 00001000 00000100 
    8950000  +1           0 1 00001000 00000100 
    8950000  +3           0 1 00001000 00000101 
    9000000  +1           0 0 00001000 00000101 
    9050000  +1           0 1 00001000 00000101 
    9050000  +3           0 1 00001000 00000000 
    9100000  +1           0 0 00001000 00000000 
    9150000  +1           0 1 00001000 00000000 
    9150000  +3           0 1 00001000 00000001 
    9200000  +1           0 0 00001000 00000001 
    9250000  +1           0 1 00001000 00000001 
    9250000  +3           0 1 00001000 00000010 
    9300000  +1           0 0 00001000 00000010 
    9350000  +1           0 1 00001000 00000010 
    9350000  +3           0 1 00001000 00000011 
    9400000  +1           0 0 00001000 00000011 
    9450000  +1           0 1 00000000 00000011 
    9450000  +3           0 1 00000000 00000000 
    9500000  +1           0 0 00000000 00000000 
    9550000  +1           0 1 00000000 00000000 
    9600000  +1           0 0 00000000 00000000 
    9650000  +1           0 1 00000001 00000000 
    9650000  +3           0 1 00000001 00000001 
    9700000  +1           0 0 00000001 00000001 
    9750000  +1           0 1 00000001 00000001 
    9750000  +3           0 1 00000001 00000000 
    9800000  +1           0 0 00000001 00000000 
    9850000  +1           0 1 00000001 00000000 
    9850000  +3           0 1 00000001 00000001 
    9900000  +1           0 0 00000010 00000001 
    9950000  +1           0 1 00000010 00000001 
    9950000  +3           0 1 00000010 00000010 
   10000000  +1           0 0 00000010 00000010 
