         ps       /tb_2/rst      /tb_2/countOut       
          delta     /tb_2/clk                         
                      /tb_2/upperBound                
    3050000  +3           0 1 00000101 00000001 
    3100000  +1           0 0 00000101 00000001 
    3150000  +1           1 1 00001011 00000001 
    3150000  +3           1 1 00001011 00000000 
    3200000  +1           1 0 00001011 00000000 
    3250000  +1           1 1 00001011 00000000 
    3300000  +1           1 0 00001011 00000000 
    3350000  +1           1 1 00001011 00000000 
    3400000  +1           1 0 00001011 00000000 
    3450000  +0           0 0 00001011 00000000 
    3450000  +1           0 1 00001011 00000000 
    3500000  +1           0 0 00001011 00000000 
    3550000  +1           0 1 00001011 00000000 
    3600000  +1           0 0 00001011 00000000 
    3650000  +1           0 1 00001011 00000000 
    3650000  +3           0 1 00001011 00000001 
    3700000  +1           0 0 00001011 00000001 
    3750000  +1           0 1 00001011 00000001 
    3750000  +3           0 1 00001011 00000000 
    3800000  +1           0 0 00001011 00000000 
    3850000  +1           0 1 00001011 00000000 
    3850000  +3           0 1 00001011 00000001 
    3900000  +1           0 0 00001011 00000001 
    3950000  +1           0 1 00001011 00000001 
    3950000  +3           0 1 00001011 00000010 
    4000000  +1           0 0 00001011 00000010 
    4050000  +1           0 1 00001011 00000010 
    4050000  +3           0 1 00001011 00000000 
    4100000  +1           0 0 00001011 00000000 
    4150000  +1           0 1 00001011 00000000 
    4150000  +3           0 1 00001011 00000001 
    4200000  +1           0 0 00001011 00000001 
    4250000  +1           0 1 00001011 00000001 
    4250000  +3           0 1 00001011 00000010 
    4300000  +1           0 0 00001011 00000010 
    4350000  +1           0 1 00001011 00000010 
    4350000  +3           0 1 00001011 00000011 
    4400000  +1           0 0 00001011 00000011 
    4450000  +1           0 1 00001011 00000011 
    4450000  +3           0 1 00001011 00000000 
    4500000  +1           0 0 00001011 00000000 
    4550000  +1           0 1 00001011 00000000 
    4550000  +3           0 1 00001011 00000001 
    4600000  +1           0 0 00001011 00000001 
    4650000  +1           0 1 00001011 00000001 
    4650000  +3           0 1 00001011 00000010 
    4700000  +1           0 0 00001011 00000010 
    4750000  +1           0 1 00001011 00000010 
    4750000  +3           0 1 00001011 00000011 
    4800000  +1           0 0 00001011 00000011 
    4850000  +1           0 1 00001011 00000011 
    4850000  +3           0 1 00001011 00000100 
    4900000  +1           0 0 00001011 00000100 
    4950000  +1           0 1 00001011 00000100 
    4950000  +3           0 1 00001011 00000000 
    5000000  +1           0 0 00001011 00000000 
    5050000  +1           0 1 00001011 00000000 
    5050000  +3           0 1 00001011 00000001 
    5100000  +1           0 0 00001011 00000001 
    5150000  +1           0 1 00001011 00000001 
    5150000  +3           0 1 00001011 00000010 
    5200000  +1           0 0 00001011 00000010 
    5250000  +1           0 1 00001011 00000010 
    5250000  +3           0 1 00001011 00000011 
    5300000  +1           0 0 00001011 00000011 
    5350000  +1           0 1 00001011 00000011 
    5350000  +3           0 1 00001011 00000100 
